,State,Year,GDP
806,South Dakota,2013,44147.4
807,Tennessee,2013,289794.6
808,Texas,2013,1484700.1
809,Utah,2013,133112.9
810,Vermont,2013,28681.5
811,Virginia,2013,449063.8
812,Washington,2013,410873.9
813,West Virginia,2013,70550.1
814,Wisconsin,2013,278015.0
815,Wyoming,2013,38849.6
816,Alabama,2014,189886.3
817,Alaska,2014,54188.2
818,Arizona,2014,276948.9
819,Arkansas,2014,111734.5
820,California,2014,2256054.7
821,Colorado,2014,298655.3
822,Connecticut,2014,235780.9
823,Delaware,2014,64940.1
824,District of Columbia,2014,114553.6
825,Florida,2014,817233.5
826,Georgia,2014,470009.7
827,Hawaii,2014,73512.4
828,Idaho,2014,62454.0
829,Illinois,2014,741194.0
830,Indiana,2014,316783.1
831,Iowa,2014,166619.2
832,Kansas,2014,145344.1
833,Kentucky,2014,181471.8
834,Louisiana,2014,235355.1
835,Maine,2014,54037.9
836,Maryland,2014,339604.6
837,Massachusetts,2014,451568.9
838,Michigan,2014,434313.2
839,Minnesota,2014,314091.3
840,Mississippi,2014,100283.6
841,Missouri,2014,276080.7
842,Montana,2014,43829.1
843,Nebraska,2014,107936.8
844,Nevada,2014,130897.4
845,New Hampshire,2014,70213.7
846,New Jersey,2014,522166.4
847,New Mexico,2014,88991.2
848,New York,2014,1353410.4
849,North Carolina,2014,462253.1
850,North Dakota,2014,57790.0
851,Ohio,2014,574177.9
852,Oklahoma,2014,189360.0
853,Oregon,2014,181220.6
854,Pennsylvania,2014,669643.1
855,Rhode Island,2014,52293.4
856,South Carolina,2014,185986.9
857,South Dakota,2014,44846.5
858,Tennessee,2014,294130.1
859,Texas,2014,1529617.1
860,Utah,2014,136993.7
861,Vermont,2014,28912.2
862,Virginia,2014,447678.1
863,Washington,2014,424467.6
864,West Virginia,2014,70532.5
865,Wisconsin,2014,283981.1
866,Wyoming,2014,39559.4
867,Alabama,2015,191335.2
868,Alaska,2015,54740.8
869,Arizona,2015,282577.0
870,Arkansas,2015,112351.0
871,California,2015,2357452.9
872,Colorado,2015,312409.7
873,Connecticut,2015,242706.5
874,Delaware,2015,66793.5
875,District of Columbia,2015,116808.4
876,Florida,2015,852242.4
877,Georgia,2015,489182.3
878,Hawaii,2015,75869.5
879,Idaho,2015,63081.2
880,Illinois,2015,751754.9
881,Indiana,2015,313751.2
882,Iowa,2015,171126.5
883,Kansas,2015,148810.5
884,Kentucky,2015,182916.0
885,Louisiana,2015,233016.0
886,Maine,2015,54425.8
887,Maryland,2015,348151.8
888,Massachusetts,2015,468060.9
889,Michigan,2015,443831.2
890,Minnesota,2015,318913.2
891,Mississippi,2015,100482.4
892,Missouri,2015,279020.8
893,Montana,2015,45395.7
894,Nebraska,2015,111401.5
895,Nevada,2015,136347.4
896,New Hampshire,2015,72042.4
897,New Jersey,2015,529953.7
898,New Mexico,2015,89701.3
899,New York,2015,1373643.0
